TITLE,CATEGORY,COLOR,SIZE,PRICE,DESCRIPTION
True Religion Geno Slim Blue Jeans,Jeans,Blue,"['W32 / 34L ', 'W33 / 34L ', 'W34 / 34L ', 'W36 / 34L ']",£40.00,"['True Religion Geno Slim Blue Jeans. True Religion Geno No Flap 106695 Medium Ink Blue Jeans. Zip Fly With Button Fasten, Faded Blue Denim Style. 98% Cotton 2% Elastane Stretch Denim, Large Branded Badge On Back Right Waist. Stitched Horseshoe Branding On Back Pockets. Style: 106695 Medium Ink_Blue']"
True Religion Horseshoe Puff Jogger Black Sweatpants,Sweatpants,Black,"['XL ', 'XXL ']",£30.00,"['True Religion Horseshoe Puff Jogger Black Sweatpants. True Religion Horseshoe Puff Jogger Black Sweatpants. Signature Horseshoe Brand Logo On Front Left Thigh. Drawstring Ties, Elasticated Cuffs and Waist, 2 Side Pockets. Regular Fit, Fits True To Size, Back Pocket With Sticthed Horseshoe Detail. Style Code: 106140 Black']"
True Religion Horseshoe Puff Jogger Grey Sweatpants,Sweatpants,Grey,"['XL ', 'XXL ']",£30.00,"['True Religion Horseshoe Puff Jogger Grey Sweatpants. True Religion Horseshoe Puff Jogger Heather Grey Sweatpants. Signature Horseshoe Brand Logo On Front Left Thigh. Drawstring Ties, Elasticated Cuffs and Waist, 2 Side Pockets. Regular Fit, Fits True To Size, Back Pocket With Sticthed Horseshoe Detail. Style Code: 106140 Heather Grey']"
True Religion Horseshoe Puff Jogger Navy Sweatpants,Sweatpants,Navy,"['L ', 'XL ', 'XXL ']",£30.00,"['True Religion Horseshoe Puff Jogger Navy Sweatpants. True Religion Horseshoe Puff Jogger Night Sky Sweatpants. Signature Horseshoe Brand Logo On Front Left Thigh. Drawstring Ties, Elasticated Cuffs and Waist, 2 Side Pockets. Regular Fit, Fits True To Size, Back Pocket With Sticthed Horseshoe Detail. Style Code: 106140 Night Sky']"
True Religion Horseshoe WT Jogger Jet Black Sweatpants,Sweatpants,Black,"['L ', 'M ', 'S ', 'XL ', 'XXL ']",£35.00,"['True Religion Horseshoe WT Jogger Jet Black Sweatpants. True Religion Black Jogg Pants. Signature Horseshoe Brand Logo On Front Left Thigh. Drawstring Ties, Elasticated Cuffs and Waist, 2 Side Pockets. Regular Fit, Fits True To Size, Back Pocket With Sticthed Horseshoe Detail. Style Code: 106639 Jet Black']"
True Religion HS True Jogger Blue Sweatpants,Sweatpants,Blue,"['L ', 'XL ', 'XXL ']",£30.00,"['True Religion HS True Jogger Blue Sweatpants. True Religion HS True Jogger Poseidon Blue Sweatpants. Signature Horseshoe Brand Logo On Front Left Thigh. Drawstring Ties, Elasticated Cuffs and Waist, 2 Side Pockets. Regular Fit, Fits True To Size, Back Pocket With Sticthed Horseshoe Detail. Style Code: 105965 Poseidon Blue']"
True Religion Lullaby Jogger Black Sweatpants,Sweatpants,Black,"['L ', 'M ', 'XL ', 'XXL ']",£35.00,"['True Religion Lullaby Jogger Black Sweatpants. True Religion Lullaby Jogger Black Sweatpants. Signature Horseshoe Brand Logo On Front Left Thigh. Drawstring Ties, Elasticated Cuffs and Waist, 2 Side Pockets. Regular Fit, Fits True To Size, Back Pocket With Sticthed Horseshoe Detail. Style Code: 104776 Black']"
True Religion Monotone Buddha Insignia Blue T-Shirt,T-Shirt,Blue,"['L ', 'M ', '\n                S ', 'XL ']",£18.00,"['True Religion Monotone Buddha Insignia Blue T-Shirt. True Religion Blue Tee. Signature Horseshoe Brand Logo On Front Left Chest. Large Buddha Branding Across The Back. Crew Neck Tee, Regular Fit, Fits True To Size, 100% Cotton. Style - 106689 Insignia Blue']"
True Religion Pony Express PCM Duster Jeans,Jeans,Duster,['W28 L34 / 34L '],£45.00,['True Religion Pony Express PCM Duster Jeans. Distressed and Faded. Brown Leather Badge. Button Fly. 3D Creasing Effect. Made in USA']
True Religion Ricky Big T Wash Jeans,Jeans,Wash,"['\n                W30 / 34L ', 'W34 / 34L ']",£55.00,"['True Religion Ricky Big T Wash Jeans. True Religion Ricky Big T 106225 Ashley Light Wash Jeans. Zip Fly With Button Fasten, Faded Wash Denim Style. 98% Cotton 2% Elastane Stretch Denim, Large Branded Badge On Back Right Waist. Contrast Stitching, Stitched Horseshoe Branding On Back Pockets. Style: 106225 Ashley Light Wash']"
True Religion Ricky Flap Relaxed Straight Blue Jeans,Jeans,Blue,"['W32 / 34L ', 'W33 / 34L ', 'W34 / 34L ']",£40.00,"['True Religion Ricky Flap Relaxed Straight Blue Jeans. True Religion 106696 Medium Ink Blue Jeans. Zip Fly With Button Fasten, Faded Blue Denim Style. 98% Cotton 2% Elastane Stretch Denim, Large Branded Badge On Back Right Waist. Flap Closure On Back Pockets and Coin Pocket, Stitched Horseshoe Branding On Back Pockets. Style: 106696 Medium Ink Blue']"
